ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Random Forest,Original Data,100.000%,100.000%,100.000%,100.000%,100.000%
Support Vector Machine,Normalized Data,98.148%,97.990%,97.619%,98.485%,100.000%
